Order Date,Customer Name,State,Category,Sub Category,Product Name,Sales,Quantity,Profit
10/1/2014,Anthony Jacobs,Virginia,Office Supplies,Labels,Avery 482,2.89,1,1.36
10/1/2014,Anthony Jacobs,Virginia,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,21.3
11/1/2014,Seth Vernon,Delaware,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,3.08
1/2/2014,Bradley Drucker,Wisconsin,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,206.32
2/2/2014,Cynthia Delaney,California,Office Supplies,Fasteners,Staples,12.35,5,5.8
2/2/2014,Eric Barreto,Florida,Office Supplies,Binders,Surelock Post Binders,18.34,2,-12.22
2/2/2014,Eric Barreto,Florida,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,13.57
3/2/2014,Tom Boeckenhauer,Washington,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,27.25
3/2/2014,Tom Boeckenhauer,Washington,Office Supplies,Binders,Avery Durable Poly Binders,13.27,3,4.31
4/2/2014,Deborah Brumfield,California,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.9,3,29.01
4/2/2014,Deborah Brumfield,California,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4,16.09
4/2/2014,Mark Haberlin,California,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.25,2,6.04
6/2/2014,Neil Ducich,Virginia,Office Supplies,Labels,Avery 480,15,4,7.2
6/2/2014,Neil Ducich,Virginia,Technology,Phones,Aastra 57i VoIP phone,161.61,1,42.02
6/2/2014,Neil Ducich,Virginia,Technology,Phones,AT&T CL82213,144.95,5,42.04
6/2/2014,Delfina Latchford,Illinois,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.95,2,-14.77
7/2/2014,Cyma Kinney,New Jersey,Technology,Accessories,Maxell DVD-RAM Discs,115.36,7,49.6
7/2/2014,Chris Selesnick,New York,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4,9.74
8/2/2014,Nathan Mautz,Nevada,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",14.56,2,5.53
11/2/2014,Natalie Fritzler,Virginia,Technology,Accessories,Enermax Aurora Lite Keyboard,234.45,3,103.16
11/2/2014,Natalie Fritzler,Virginia,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,6,75.37
11/2/2014,Natalie Fritzler,Virginia,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,8.21
11/2/2014,Guy Armstrong,Missouri,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60.89,1,15.22
11/2/2014,Guy Armstrong,Missouri,Office Supplies,Labels,Avery 483,14.94,3,6.87
11/2/2014,Guy Armstrong,Missouri,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2,4.43
11/2/2014,Guy Armstrong,Missouri,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94,3,53.27
11/2/2014,Guy Armstrong,Missouri,Office Supplies,Binders,VariCap6 Expandable Binder,51.9,3,24.39
11/2/2014,Guy Armstrong,Missouri,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,2,2.6
12/2/2014,Sanjit Chand,California,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.57,2,-24.29
1/3/2014,Dave Brooks,Washington,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.57,2,51.48
1/3/2014,Hallie Redmond,New York,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3,1.6
1/3/2014,Vicky Freymann,Illinois,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.12,6,-172.12
1/3/2014,Vicky Freymann,Illinois,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.47,3,5.68
1/3/2014,Shahid Collister,Texas,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,5,-3.53
1/3/2014,Shahid Collister,Texas,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,6,0
1/3/2014,Shahid Collister,Texas,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.55,6,-34.95
1/3/2014,Shahid Collister,Texas,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,129.55,3,-22.67
1/3/2014,Giulietta Weimer,Texas,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137.35,3,8.58
1/3/2014,Giulietta Weimer,Texas,Furniture,Tables,Bevis Round Conference Room Tables and Bases,376.51,3,-43.03
2/3/2014,Kristina Nunn,New York,Office Supplies,Envelopes,Staple envelope,11.36,2,5.34
2/3/2014,Kristina Nunn,New York,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",36.4,5,17.47
2/3/2014,Nicole Hansen,Pennsylvania,Office Supplies,Paper,Xerox 1971,3.42,1,1.07
2/3/2014,Nicole Hansen,Pennsylvania,Technology,Accessories,Hypercom P1300 Pinpad,151.2,3,32.13
3/3/2014,Ashley Jarboe,North Carolina,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.46,4,3.4
3/3/2014,Anne Pryor,New York,Technology,Phones,PowerGen Dual USB Car Charger,9.99,1,4.6
3/3/2014,Anne Pryor,New York,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,125.76,3,40.87
3/3/2014,Anne Pryor,New York,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",25.32,5,9.18
3/3/2014,Jill Stevenson,Ohio,Office Supplies,Labels,Avery 495,15.12,3,4.91
3/3/2014,Jill Stevenson,Ohio,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,302.45,5,-199.62
3/3/2014,Jill Stevenson,Ohio,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,44.67,8,-10.05
3/3/2014,Sam Craven,Texas,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,176.77,3,-459.61
3/3/2014,Eva Jacobs,California,Furniture,Tables,"Bevis Oval Conference Table, Walnut",626.35,3,-23.49
4/3/2014,Clay Ludtke,South Carolina,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,354.9,5,17.75
4/3/2014,Sanjit Chand,Florida,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",15.55,3,2.33
5/3/2014,Aimee Bixby,New York,Office Supplies,Art,Newell 345,59.52,3,15.48
5/3/2014,Aimee Bixby,New York,Technology,Accessories,Logitech Wireless Gaming Headset G930,479.97,3,177.59
5/3/2014,Aimee Bixby,New York,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,18.62,2,5.4
5/3/2014,Aimee Bixby,New York,Office Supplies,Binders,GBC Wire Binding Combs,49.63,6,16.75
5/3/2014,Aimee Bixby,New York,Office Supplies,Paper,Xerox 1891,97.82,2,45.98
7/3/2014,Aaron Bergman,Washington,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",48.71,1,5.48
7/3/2014,Aaron Bergman,Washington,Office Supplies,Art,Newell 330,17.94,3,4.66
7/3/2014,Aaron Bergman,Washington,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",242.94,3,4.86
7/3/2014,Nora Pelletier,Washington,Office Supplies,Binders,Catalog Binders with Expanding Posts,107.65,2,33.64
7/3/2014,Craig Molinari,Washington,Office Supplies,Art,Newell Chalk Holder,20.65,5,9.5
7/3/2014,Craig Molinari,Washington,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System",204.9,5,0
7/3/2014,Craig Molinari,Washington,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,436.7,6,21.84
7/3/2014,Craig Molinari,Washington,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",481.57,2,54.18
10/3/2014,Scott Williamson,Michigan,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",22.38,2,10.74
10/3/2014,Kean Thornton,Colorado,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,636.41,3,-15.91
10/3/2014,Kean Thornton,Colorado,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",83.17,4,9.36
11/3/2014,Chloris Kastensmidt,Ohio,Furniture,Furnishings,Eldon Wave Desk Accessories,8.32,5,2.29
11/3/2014,Chloris Kastensmidt,Ohio,Office Supplies,Fasteners,Stockwell Push Pins,10.46,6,1.7
11/3/2014,Kelly Andreada,New York,Office Supplies,Paper,"Southworth 100% Résumé Paper, 24lb.",108.92,14,49.01
11/3/2014,Filia McAdams,Kentucky,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",146.76,3,38.16
11/3/2014,Filia McAdams,Kentucky,Technology,Accessories,Maxell DVD-RAM Discs,32.96,2,14.17
11/3/2014,Filia McAdams,Kentucky,Technology,Phones,Panasonic KX-TG9471B,587.97,3,164.63
11/3/2014,Filia McAdams,Kentucky,Office Supplies,Paper,Xerox 198,14.94,3,7.02
11/3/2014,Richard Bierner,California,Office Supplies,Art,Economy #2 Pencils,7.98,3,2.07
1/4/2014,Kunst Miller,California,Office Supplies,Labels,Avery 490,29.6,2,14.8
1/4/2014,Kunst Miller,California,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",17.09,4,5.55
1/4/2014,Katharine Harms,Massachusetts,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,66.96,4,2.68
1/4/2014,Katharine Harms,Massachusetts,Office Supplies,Binders,Zipper Ring Binder Pockets,6.24,2,3.06
2/4/2014,Rob Dowd,Georgia,Office Supplies,Paper,Xerox 1990,15.84,3,7.13
2/4/2014,Rob Dowd,Georgia,Technology,Phones,Motorola Droid Maxx,1049.93,7,293.98
2/4/2014,Rob Dowd,Georgia,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,154.9,5,40.27
2/4/2014,Sam Craven,Texas,Office Supplies,Paper,Xerox 1898,26.72,5,9.35
2/4/2014,Sam Craven,Texas,Office Supplies,Paper,Xerox 1947,33.49,7,10.47
2/4/2014,Anna Häberlin,Virginia,Furniture,Furnishings,Luxo Adjustable Task Clamp Lamp,177.68,2,46.2
3/4/2014,Katrina Edelman,California,Office Supplies,Envelopes,Staple envelope,11.16,2,5.58
3/4/2014,Katrina Edelman,California,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3,22.43
3/4/2014,Katrina Edelman,California,Technology,Accessories,Logitech G600 MMO Gaming Mouse,159.98,2,57.59
4/4/2014,Paul Knutson,California,Office Supplies,Labels,Avery 518,18.9,6,9.07
4/4/2014,Maurice Satty,Michigan,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame,5.47,1,2.35
4/4/2014,Maurice Satty,Michigan,Office Supplies,Art,Newell 319,79.36,4,23.81
4/4/2014,Mary Zewe,California,Office Supplies,Binders,Avery Non-Stick Binders,7.18,2,2.25
4/4/2014,Ken Black,Louisiana,Office Supplies,Storage,Safco Commercial Shelving,232.55,5,9.3
4/4/2014,Ken Black,Louisiana,Technology,Accessories,Logitech Wireless Marathon Mouse M705,99.98,2,42.99
4/4/2014,Ken Black,Louisiana,Office Supplies,Paper,Xerox 209,19.44,3,9.33
4/4/2014,Ken Black,Louisiana,Office Supplies,Paper,Xerox 1966,12.96,2,6.35
5/4/2014,Tracy Hopkins,New York,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",55.48,1,26.63
5/4/2014,Greg Maxwell,Virginia,Office Supplies,Art,Crayola Colored Pencils,22.96,7,7.58
5/4/2014,Greg Maxwell,Virginia,Technology,Phones,AT&T CL82213,28.99,1,8.41
5/4/2014,Greg Maxwell,Virginia,Office Supplies,Paper,Xerox 1957,12.96,2,6.35
5/4/2014,Greg Maxwell,Virginia,Office Supplies,Art,Newell 321,22.96,7,6.66
5/4/2014,Greg Maxwell,Virginia,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4164.05,5,83.28
5/4/2014,John Grady,Illinois,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",49.63,4,3.72
5/4/2014,John Grady,Illinois,Office Supplies,Storage,Adjustable Personal File Tote,52.1,4,3.91
5/4/2014,Ruben Dartt,Michigan,Office Supplies,Art,Stanley Contemporary Battery Pencil Sharpeners,26.7,2,7.48
5/4/2014,Ruben Dartt,Michigan,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",40.2,5,18.09
5/4/2014,Ruben Dartt,Michigan,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",13.89,3,4.58
5/4/2014,Ruben Dartt,Michigan,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,689.82,6,20.69
5/4/2014,Roy Phan,Kentucky,Office Supplies,Binders,Ibico Standard Transparent Covers,115.36,7,56.53
6/4/2014,Guy Phonely,Pennsylvania,Office Supplies,Binders,Large Capacity Hanging Post Binders,44.91,6,-35.93
6/4/2014,Shirley Daniels,Pennsylvania,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,10.3,1,-2.19
6/4/2014,Shirley Daniels,Pennsylvania,Furniture,Tables,KI Adjustable-Height Table,154.76,3,-36.11
6/4/2014,Shirley Daniels,Pennsylvania,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,116.78,2,21.9
6/4/2014,Scott Cohen,Washington,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",653.55,3,111.1
6/4/2014,Scott Cohen,Washington,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,33.9,2,2.03
6/4/2014,Andy Yotov,California,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,91.96,2,15.63
6/4/2014,Andy Yotov,California,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,33.11,7,12.91
6/4/2014,Andy Yotov,California,Office Supplies,Paper,Xerox 211,19.44,3,9.33
6/4/2014,Andy Yotov,California,Office Supplies,Paper,Xerox 194,55.48,1,26.63
6/4/2014,Frank Hawley,California,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,70.95,3,18.45
6/4/2014,Frank Hawley,California,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",65.57,2,23.77
6/4/2014,Frank Hawley,California,Technology,Accessories,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,299.97,3,131.99
7/4/2014,Pauline Johnson,Alabama,Furniture,Furnishings,"Stacking Tray, Side-Loading, Legal, Smoke",8.96,2,2.78
7/4/2014,Roland Schwarz,South Carolina,Technology,Phones,AT&T TR1909W,629.95,5,163.79
7/4/2014,Roland Schwarz,South Carolina,Office Supplies,Paper,Xerox 1945,122.97,3,60.26
7/4/2014,Valerie Mitchum,Georgia,Office Supplies,Paper,Xerox 226,58.32,9,27.99
7/4/2014,Valerie Mitchum,Georgia,Technology,Phones,RCA Visys Integrated PBX 8-Line Router,200.97,3,50.24
8/4/2014,Jim Mitchum,Arizona,Office Supplies,Fasteners,Binder Clips by OIC,2.37,2,0.83
8/4/2014,Jim Mitchum,Arizona,Office Supplies,Paper,Things To Do Today Spiral Book,19.01,3,6.89
8/4/2014,Ruben Ausman,Alabama,Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",1215.92,8,316.14
8/4/2014,Pauline Chand,Arizona,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",49.79,8,-11.83
8/4/2014,Nathan Mautz,California,Furniture,Tables,Bevis 36 x 72 Conference Tables,99.59,1,2.49
8/4/2014,Nathan Mautz,California,Technology,Accessories,Logitech Wireless Headset h800,399.96,4,139.99
8/4/2014,John Stevenson,Ohio,Furniture,Tables,Riverside Furniture Stanwyck Manor Table Series,172.11,1,-94.66
11/4/2014,Jay Kimmel,Florida,Office Supplies,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long",6.91,3,2.33
11/4/2014,Jay Kimmel,Florida,Technology,Accessories,Logitech Wireless Gaming Headset G930,383.98,3,81.59
11/4/2014,Jay Kimmel,Florida,Office Supplies,Paper,Xerox 224,10.37,2,3.63
11/4/2014,Jay Kimmel,Florida,Technology,Accessories,Logitech Wireless Anywhere Mouse MX for PC and Mac,335.94,7,41.99
11/4/2014,Sanjit Engle,Idaho,Office Supplies,Binders,GBC Personal VeloBind Strips,9.58,1,3.35
11/4/2014,Gary Mitchum,Texas,Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,758.35,6,265.42
11/4/2014,Michelle Moray,Montana,Office Supplies,Storage,Eldon Simplefile Box Office,87.08,7,24.38
11/4/2014,Michelle Moray,Montana,Technology,Phones,AT&T SB67148 SynJ,105.58,2,9.24
11/4/2014,Michelle Moray,Montana,Technology,Accessories,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,217.44,6,91.32
12/4/2014,Kean Nguyen,California,Technology,Phones,Pyle PMP37LED,1075.09,14,94.07
12/4/2014,Kean Nguyen,California,Technology,Phones,AT&T 1080 Corded phone,438.37,4,38.36
12/4/2014,Kean Nguyen,California,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,18.09,7,6.56
12/4/2014,Kean Nguyen,California,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,308.5,3,-18.15
12/4/2014,Stewart Visinsky,Indiana,Office Supplies,Paper,Xerox 213,32.4,5,15.55
12/4/2014,Edward Hooks,California,Office Supplies,Art,Prismacolor Color Pencil Set,39.68,2,16.27
2/5/2014,Andrew Roberts,Ohio,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,26.14,3,1.96
2/5/2014,Cari Schnelling,Florida,Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,479.98,2,90
3/5/2014,Joni Sundaresam,Wisconsin,Office Supplies,Labels,Avery 481,21.56,7,10.35
3/5/2014,Nathan Cano,New York,Office Supplies,Binders,GBC Poly Designer Binding Covers,40.18,3,14.56
3/5/2014,Nathan Cano,New York,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",10.9,3,3.95
4/5/2014,Paul MacIntyre,Michigan,Office Supplies,Binders,Fellowes Binding Cases,46.8,4,21.06
4/5/2014,Andrew Allen,Connecticut,Furniture,Furnishings,DAX Wood Document Frame,27.46,2,9.89
4/5/2014,Nat Carroll,Texas,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,37.84,2,2.84
4/5/2014,Nat Carroll,Texas,Office Supplies,Fasteners,OIC Thumb-Tacks,5.47,6,1.85
4/5/2014,Bill Shonely,Washington,Furniture,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",12.18,7,3.9
4/5/2014,Bill Shonely,Washington,Office Supplies,Appliances,Holmes Odor Grabber,57.68,4,19.03
5/5/2014,Peter Fuller,Kentucky,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",9.42,3,4.24
5/5/2014,Peter Fuller,Kentucky,Office Supplies,Art,Newell 350,6.56,2,1.9
5/5/2014,Peter Fuller,Kentucky,Office Supplies,Paper,Xerox 1933,24.56,2,11.54
5/5/2014,Emily Burns,Texas,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",127.87,3,-9.13
5/5/2014,Katharine Harms,Illinois,Office Supplies,Storage,Eldon Portable Mobile Manager,45.25,2,3.96
5/5/2014,Giulietta Dortch,Virginia,Office Supplies,Binders,Storex Dura Pro Binders,11.88,2,5.35
5/5/2014,Giulietta Dortch,Virginia,Office Supplies,Paper,Easy-staple paper,35.44,1,16.66
6/5/2014,Harold Pawlan,California,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,140.74,8,52.78
6/5/2014,Steve Nguyen,California,Office Supplies,Labels,Staple-on labels,5.78,2,2.72
6/5/2014,Steve Nguyen,California,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,107.94,6,30.22
7/5/2014,Carol Triggs,Massachusetts,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",16.14,3,7.91
7/5/2014,Carol Triggs,Massachusetts,Furniture,Tables,Balt Split Level Computer Training Table,194.25,2,-38.85
7/5/2014,Carol Triggs,Massachusetts,Office Supplies,Art,Newell 335,8.64,3,2.51
7/5/2014,Carol Triggs,Massachusetts,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",872.32,4,244.25
8/5/2014,Kean Thornton,Pennsylvania,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1799.97,5,240
9/5/2014,Patrick Gardner,California,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,67.8,4,4.07
9/5/2014,Patrick Gardner,California,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,167.97,3,40.31
9/5/2014,Sean Braxton,Kentucky,Office Supplies,Storage,Fellowes Super Stor/Drawer,83.25,3,14.99
9/5/2014,Sean Braxton,Kentucky,Office Supplies,Labels,Avery 518,9.45,3,4.54
9/5/2014,Sean Braxton,Kentucky,Office Supplies,Labels,Avery 506,20.65,5,9.5
9/5/2014,Sean Braxton,Kentucky,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),45.36,7,21.77
10/5/2014,Arianne Irving,Washington,Office Supplies,Envelopes,"Strathmore #10 Envelopes, Ultimate White",158.13,3,77.48
10/5/2014,Arianne Irving,Washington,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",43.6,5,4.36
10/5/2014,Art Foster,Pennsylvania,Furniture,Bookcases,Bestar Classic Bookcase,349.97,7,-216.98
10/5/2014,Art Foster,Pennsylvania,Office Supplies,Art,DIXON Ticonderoga Erasable Checking Pencils,22.32,5,5.3
10/5/2014,Greg Matthias,California,Office Supplies,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,39.96,2,19.18
10/5/2014,Greg Matthias,California,Technology,Phones,Wilson Electronics DB Pro Signal Booster,1432,5,125.3
10/5/2014,Greg Matthias,California,Office Supplies,Supplies,Acme Design Stainless Steel Bent Scissors,41.04,6,11.08
10/5/2014,Greg Matthias,California,Furniture,Chairs,Hon Pagoda Stacking Chairs,256.78,1,32.1
11/5/2014,Paul Gonzalez,Texas,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,58.11,2,7.26
11/5/2014,Paul Gonzalez,Texas,Technology,Phones,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,100.79,1,6.3
11/5/2014,Paul Gonzalez,Texas,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",66.11,4,-84.29
11/5/2014,Raymond Messe,Texas,Technology,Accessories,Logitech ClearChat Comfort/USB Headset H390,46.86,2,7.62
11/5/2014,Brooke Gillingham,New York,Office Supplies,Appliances,Staple holder,35.91,3,9.7
11/5/2014,Victoria Wilson,Texas,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,1212.96,8,-69.31
11/5/2014,Harold Dahlen,Illinois,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.47,3,5.68
11/5/2014,Harold Dahlen,Illinois,Office Supplies,Binders,Avery Arch Ring Binders,104.58,9,-172.56
12/5/2014,Hunter Lopez,Wisconsin,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",34.79,7,10.78
12/5/2014,Kean Thornton,Massachusetts,Furniture,Tables,"Bevis Traditional Conference Table Top, Plinth Base",700.06,3,-130.01
1/6/2014,Dianna Wilson,Minnesota,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,580.54
1/6/2014,Dianna Wilson,Minnesota,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72,2,41.68
1/6/2014,Dianna Wilson,Minnesota,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88,6,23.94
1/6/2014,Dianna Wilson,Minnesota,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,5,496.07
1/6/2014,Dianna Wilson,Minnesota,Office Supplies,Paper,Xerox 205,25.92,4,12.44
1/6/2014,Corey Roper,New Jersey,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.48,3,20.92
1/6/2014,Corey Roper,New Jersey,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,289.2,6,83.87
1/6/2014,Liz Thompson,Arkansas,Furniture,Furnishings,3M Hangers With Command Adhesive,22.2,6,9.1
1/6/2014,Liz Thompson,Arkansas,Technology,Phones,Adtran 1202752G1,881.93,7,229.3
1/6/2014,Quincy Jones,Michigan,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,138.56,4,66.51
